Date,Mkt-RF,SMB,HML,RF
202006,2.46,2.71,-2.35,0.01
202007,5.77,-2.18,-1.39,0.01
202008,7.63,-0.25,-2.94,0.01
202009,-3.63,0.06,-2.51,0.01
202010,-2.1,4.44,4.03,0.01
202011,12.47,5.48,2.11,0.01
202012,4.63,4.81,-1.36,0.01
202101,-0.03,7.19,2.85,0
202102,2.78,2.11,7.08,0
202103,3.08,-2.48,7.4,0
202104,4.93,-3.09,-0.74,0
202105,0.29,-0.21,7.04,0
202106,2.79,1.79,-7.7,0
